text,topic,label,score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
europäer*inne unser stark gemeinsam binnenmarkt international standard setzen innovation vor- antreiben,Politik und Ideologie,positiv,0.5919843912124634,Als Europäer*innen können wir mit unserem starken gemeinsamen Binnenmarkt internationale Standards setzen und Innovationen vor- antreiben,neutral,0.9886047840118408,Als Europäer*innen können wir mit unserem starken gemeinsamen Binnenmarkt internationale Standards setzen und Innovationen vor- antreiben,bildung,0.4230318367481231,"[('bildung', 0.42303183674812317), ('gesundheit', 0.12194549292325974), ('none', 0.0827355608344078)]"
währungsordnung,Politik und Ideologie,neutral,0.7953249216079712,Währungsordnung,neutral,0.9676231741905212,Währungsordnung,wirtschaft,0.6396443247795105,"[('wirtschaft', 0.6396443247795105), ('gesundheit', 0.08842799812555313), ('none', 0.052184317260980606)]"
bekämpfung rechtsextremistisch struktur innerhalb sicherheitsbehörde prio rität sicherheitsorgan,Politik und Ideologie,neutral,0.5784865021705627,Die Bekämpfung rechtsextremistischer Strukturen - auch innerhalb der Sicherheitsbehörden - muss Prio- rität für alle Sicherheitsorgane haben,neutral,0.9845073223114014,Die Bekämpfung rechtsextremistischer Strukturen - auch innerhalb der Sicherheitsbehörden - muss Prio- rität für alle Sicherheitsorgane haben,bildung,0.4154575169086456,"[('bildung', 0.41545751690864563), ('gesundheit', 0.2817189395427704), ('klima', 0.09659643471240997)]"
leben künftig wissenschaftler*inn künstlerin forscher*in betrieb hochschule außeruniversitär einrichtung permanent leidenschaft idee arbeiten antwort frage stellen,Wissenschaft,neutral,0.6173929572105408,"Ein gutes Leben wird auch künftig möglich sein, weil Wissenschaftler*innen, Künstlerinnen und Forscher*innen in Betrieben, Hochschulen und außeruniversitären Einrichtungen permanent und mit Leidenschaft an neuen Ideen arbeiten, an Antworten auf Fragen, die wir noch gar nicht gestellt haben",neutral,0.9881889820098876,"Ein gutes Leben wird auch künftig möglich sein, weil Wissenschaftler*innen, Künstlerinnen und Forscher*innen in Betrieben, Hochschulen und außeruniversitären Einrichtungen permanent und mit Leidenschaft an neuen Ideen arbeiten, an Antworten auf Fragen, die wir noch gar nicht gestellt haben",wissenschaft,0.5836952924728394,"[('wissenschaft', 0.5836952924728394), ('bildung', 0.12873321771621704), ('gesundheit', 0.06702984124422073)]"
sicherheit cyber informationsraum schaffen   digitalisierung technologie bieten möglichkei ten schaffen risiko offen demokratisch gesellschaf ten werfen bestimmt bereich schwerwiegend ethisch politisch rechtlich frage,Wissenschaft,neutral,0.794388473033905,"Sicherheit im Cyber- und Informationsraum schaffen  Digitalisierung und neue Technologien bieten viele neue Möglichkei- ten, schaffen aber auch Risiken für offene, demokratische Gesellschaf- ten und werfen in bestimmten Bereichen schwerwiegende ethische, politische und rechtliche Fragen auf",neutral,0.9862416982650756,"Sicherheit im Cyber- und Informationsraum schaffen  Digitalisierung und neue Technologien bieten viele neue Möglichkei- ten, schaffen aber auch Risiken für offene, demokratische Gesellschaf- ten und werfen in bestimmten Bereichen schwerwiegende ethische, politische und rechtliche Fragen auf",bildung,0.2344641834497451,"[('bildung', 0.23446418344974518), ('politik und ideologie', 0.20606274902820587), ('soziale ursachen', 0.12251677364110947)]"
gleichzeitig erkennen system soldat innen gewiß situation schützen,Wissenschaft,positiv,0.5033602714538574,"Gleichzeitig erkennen wir an, dass diese Systeme Soldat’innen in gewissen Situationen besser schützen können",neutral,0.8503293395042419,"Gleichzeitig erkennen wir an, dass diese Systeme Soldat’innen in gewissen Situationen besser schützen können",wissenschaft,0.4384165704250335,"[('wissenschaft', 0.43841657042503357), ('bildung', 0.17419001460075378), ('gesundheit', 0.12329477816820145)]"
gleich berechtigung kooperation zusammenhalt vielfalt maßstab bürger*innennahen staat verwirklichen,soziale Ursachen,neutral,0.5797271132469177,"Gleich- berechtigung, Kooperation sowie der Zusammenhalt in Vielfalt sind Maßstäbe, um einen bürger*innennahen Staat zu verwirklichen",neutral,0.9872074723243712,"Gleich- berechtigung, Kooperation sowie der Zusammenhalt in Vielfalt sind Maßstäbe, um einen bürger*innennahen Staat zu verwirklichen",bildung,0.2917988300323486,"[('bildung', 0.29179883003234863), ('gesundheit', 0.23438997566699982), ('politik und ideologie', 0.12800873816013336)]"
region versorgungsproblem kämpfen investieren gestalten,soziale Ursachen,negativ,0.5096161961555481,"Regionen, die heute mit großen Versorgungsproblemen zu kämpfen haben, sollen wieder investieren und gestalten können",neutral,0.9859742522239684,"Regionen, die heute mit großen Versorgungsproblemen zu kämpfen haben, sollen wieder investieren und gestalten können",bildung,0.3049562573432922,"[('bildung', 0.30495625734329224), ('gesundheit', 0.16575612127780914), ('wirtschaft', 0.15822434425354004)]"
anfang bildung kind jung men- schen erwachsene hoch alter möglichkeit entfalten,soziale Ursachen,neutral,0.7089781165122986,"Von Anfang an gibt Bildung Kindern, jungen Men- schen und Erwachsenen bis ins hohe Alter die Möglichkeit, sich zu entfalten",neutral,0.983580768108368,"Von Anfang an gibt Bildung Kindern, jungen Men- schen und Erwachsenen bis ins hohe Alter die Möglichkeit, sich zu entfalten",bildung,0.6307805180549622,"[('bildung', 0.6307805180549622), ('gesundheit', 0.09150458127260208), ('soziale ursachen', 0.05580621585249901)]"
künstlersozialkaß ksk finanziell stärken rechtssicherheit mitgliedschaft ksk künstler*innen zeitweise produktion versicherungspflichtig anstellen schaffen freiwillig weiterversicherung selbständige arbeitslosenversicherung vereinfachen,wirtschaft,neutral,0.7303606271743774,"Die Künstlersozialkasse (KSK) muss finanziell gestärkt, Rechtssicherheit für die Mitgliedschaft in der KSK, auch für Künstler*innen, die nur zeitweise für Produktionen versicherungspflichtig angestellt sind, geschaffen und die freiwillige Weiterversicherung für Selbständige in der Arbeitslosenversicherung vereinfacht werden",neutral,0.981447458267212,"Die Künstlersozialkasse (KSK) muss finanziell gestärkt, Rechtssicherheit für die Mitgliedschaft in der KSK, auch für Künstler*innen, die nur zeitweise für Produktionen versicherungspflichtig angestellt sind, geschaffen und die freiwillige Weiterversicherung für Selbständige in der Arbeitslosenversicherung vereinfacht werden",wirtschaft,0.230209395289421,"[('wirtschaft', 0.23020939528942108), ('bildung', 0.19813881814479828), ('soziale ursachen', 0.14082039892673492)]"
sauber bilanz deutsch kapitalmarkt   bilanzskandal wirecard zuständig wirtschaftsprü fer*inne staatlich aufsicht aufgabe scheitern,wirtschaft,negativ,0.7381138205528259,Saubere Bilanzen am deutschen Kapitalmarkt  Beim Bilanzskandal Wirecard sind die zuständigen Wirtschaftsprü- fer*innen und die staatliche Aufsicht an ihrer Aufgabe gescheitert,neutral,0.9766765236854552,Saubere Bilanzen am deutschen Kapitalmarkt  Beim Bilanzskandal Wirecard sind die zuständigen Wirtschaftsprü- fer*innen und die staatliche Aufsicht an ihrer Aufgabe gescheitert,wirtschaft,0.3985041379928589,"[('wirtschaft', 0.3985041379928589), ('gesundheit', 0.2799059748649597), ('bildung', 0.14513252675533295)]"
giftfrei produkt alltag   plastik schadstoffrückständ finden mittlerweile sogar körper kind jugendliche,wirtschaft,neutral,0.7695032358169556,Giftfreie Produkte im Alltag  Plastik- und Schadstoffrückstände finden sich mittlerweile sogar schon in den Körpern von Kindern und Jugendlichen,neutral,0.9685521721839904,Giftfreie Produkte im Alltag  Plastik- und Schadstoffrückstände finden sich mittlerweile sogar schon in den Körpern von Kindern und Jugendlichen,bildung,0.3266195952892303,"[('bildung', 0.32661959528923035), ('soziale ursachen', 0.19278569519519806), ('wirtschaft', 0.14698196947574615)]"
